10%,KAYTRANADA,,2019,urban contemporary,64,0.793,0.754,-6.634,0.126,0.028,0.0622,107.984,0.639,186684
12:51,The Strokes,,2003,indie poptimism,61,0.452,0.889,-3.838,0.0379,0.312,0.558,145.056,0.591,153133
11:00 PM,Maluma,,2019,latin pop,86,0.777,0.712,-4.84,0.277,0.217,0.091,95.692,0.68,175733
7,Be Vis,,2019,trap,51,0.77,0.631,-5.581,0.106,0.016,0.0918,74.976,0.14,187171
8,Billie Eilish,,2019,urban contemporary,80,0.735,0.235,-13.239,0.315,0.698,0.107,62.446,0.462,173202
16,Highly Suspect,,2019,latin hip hop,68,0.534,0.621,-5.205,0.0449,0.00124,0.0596,91.845,0.186,278656
22,TINI,,2019,latin pop,74,0.704,0.643,-4.705,0.0903,0.00807,0.0895,176.038,0.806,159188
143,Musiq Soulchild,,2000,neo soul,33,0.606,0.532,-8.916,0.0464,0.0749,0.0581,87.827,0.199,297800
214,Rivermaya,,2001,classic rock,63,0.537,0.561,-6.961,0.0297,0.423,0.134,78.13,0.242,273200
365,Zedd,,2019,pop edm,50,0.784,0.595,-6.816,0.0413,0.00476,0.059,124.019,0.183,236287
608,Ghostofblu,,2017,gangster rap,0,0.386,0.936,-5.551,0.604,0.101,0.381,95.075,0.193,197053
777,KDL,Ferras,2019,pop edm,33,0.635,0.551,-6.793,0.0663,0.309,0.17,102.14,0.386,186606
911,Rick Ross,,2012,southern hip hop,0,0.607,0.766,-5.987,0.0405,0.00522,0.0727,135.007,0.211,329440
1441,KASIMIR1441,,2019,gangster rap,55,0.851,0.824,-11.866,0.291,0.326,0.231,139.945,0.649,83128
1941,Klaypex,Virian,2014,electro house,42,0.885,0.835,-3.238,0.142,0.197,0.175,125.027,0.836,180200
1950,King Princess,,2018,latin pop,79,0.6,0.535,-7.043,0.107,0.648,0.162,71.912,0.269,225133
1965,Danny Boone,,2014,southern hip hop,46,0.544,0.833,-5.003,0.0396,0.0381,0.272,87.424,0.736,227576
1999,Charli XCX,,2018,electropop,71,0.739,0.742,-4.586,0.0329,0.0227,0.229,124.016,0.659,189000
2020,Great Good Fine Ok,,2019,indie poptimism,57,0.643,0.613,-6.297,0.0853,0.334,0.144,153.853,0.52,159500
11-Jul,Beyoncé,,2014,electropop,71,0.747,0.705,-5.137,0.126,0.0128,0.126,136.024,0.56,213507
¿Qué Tengo Que Hacer?,Daddy Yankee,,2008,reggaeton,67,0.76,0.893,-3.913,0.0639,0.0758,0.321,107.994,0.948,218507
@Isa,"Marcos, Belutti",,2019,pop edm,68,0.654,0.951,-2.935,0.0558,0.288,0.121,158.904,0.913,156913
#1 Stunna,Big Tymers,,2000,hip hop,48,0.552,0.842,-4.961,0.285,0.0176,0.258,89.017,0.561,281960
0 To 100 / The Catch Up,Drake,,2013,urban contemporary,5,0.559,0.716,-3.964,0.39,0.737,0.252,176.618,0.504,275227
100 dni do matury,Mata,,2020,hip hop,52,0.687,0.828,-7.911,0.456,0.523,0.34,159.934,0.0999,301573
18 and Life,Skid Row,,1989,hard rock,69,0.466,0.648,-11.101,0.028,0.0023,0.112,90.435,0.305,229960
1st & 10,Ludacris,"Infamous 2-0, Fate Wilson",2000,southern hip hop,26,0.635,0.946,-5.754,0.48,0.0844,0.143,156.099,0.774,223147
2 Of Amerikaz Most Wanted,2Pac,,2007,gangster rap,1,0.71,0.905,-2.578,0.324,0.0391,0.0562,198.5,0.817,246147
2 Phones,Kevin Gates,,2016,hip hop,70,0.895,0.681,-5.267,0.358,0.157,0.189,121.918,0.554,240000
2 Seater,DJ Holiday,"Quavo, 21 Savage",2018,gangster rap,46,0.887,0.573,-4.633,0.251,0.332,0.143,133.026,0.237,158797
200 Press,James Blake,,2014,urban contemporary,36,0.785,0.573,-9.082,0.0416,0.304,0.0824,126.465,0.595,373243
2112 Overture / The Temples Of Syrinx,Rush,,2003,hard rock,0,0.369,0.883,-6.913,0.119,0.0488,0.175,133.46,0.308,404213
2U,David Guetta,,2017,dance pop,66,0.551,0.651,-5.828,0.0594,0.225,0.224,144.875,0.562,194907
